ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_practice_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,collected_gold,task_outliers,survey_outliers,outliers
0291yns1bxhcl5xhqez3larr,1,224.481,93.653,166.543,57.701,1,58.246,3,0.75,0.8181818181818182,0.382,0.591,2.96452,1.64768,2,0,1,0.4358974358974359,0.4166666666666667,73.5,false,false,false
07a9vu8osjjrrgu809sm65sw,2,205.004,59.1,146.841,59.136,4,48.342,5,1.0,0.36363636363636365,0.527,0.758,4.70912,1.77144,0,0,0,0.5128205128205129,0.16666666666666666,62.375,true,false,true
0ckb0l9nuvurj5d3m6qvngzv,3,64.844,26.064,60.175,32.863,0,52.637,2,1.0,1.0,0.504,0.833,1.70974,1.14396,0,0,0,0.35897435897435903,0.47222222222222227,77.5,false,false,false
0sbbm8euq6s2vo9qjcbi6yi7,4,224.53,69.585,177.497,75.672,5,27.904,4,0.75,0.7272727272727273,0.382,0.576,1.51745,0.75829,0,0,1,0.3333333333333333,0.3055555555555556,73.0,false,false,false
0vk905kmoq7i6cv9xiuple8i,5,48.322,17.125,77.498,17.581,0,33.61,0,1.0,1.0,0.481,0.788,2.52399,1.57475,0,0,0,0.4615384615384615,0.4166666666666667,77.5,false,false,false
213mm10utzym6f0s6f7x6xwp,6,78.161,64.454,94.267,22.769,2,25.517,3,0.5,0.2727272727272727,0.527,0.515,2.53159,1.78811,5,0,0,0.5384615384615384,0.25,63.75,true,false,true
26sovl3txsqxehunvg0442co,7,230.214,89.343,224.11,49.397,0,110.959,4,1.0,0.8636363636363636,0.466,0.803,3.23223,1.53628,1,0,1,0.3333333333333333,0.4444444444444444,71.625,false,false,false
2b1jqes6ca6rtk4gdwao2090,8,29.335,18.347,34.951,17.758,3,15.902,3,0.875,0.9545454545454546,0.45,0.909,1.76373,0.92001,0,1,0,0.4358974358974359,0.5833333333333334,73.0,false,true,true
2ccjm7k1u8amw3olh0zjqddq,9,170.083,117.247,223.799,80.599,1,125.086,1,1.0,1.0,0.527,0.727,2.67826,1.48301,0,0,2,0.4102564102564103,0.3888888888888889,75.375,false,true,true
3k2x6blm7x3xoenhdn9ymwrk,10,402.922,148.85,281.479,166.66,3,81.056,3,0.875,0.45454545454545453,0.443,0.848,4.19642,1.32811,0,3,0,0.4102564102564103,0.3333333333333333,63.583333333333336,true,true,true
3k8oeln5g8ttclyabh645vi7,11,131.111,61.794,195.238,36.95,1,68.199,4,1.0,0.8636363636363636,0.466,0.788,3.47737,1.73933,1,0,1,0.6410256410256411,0.22222222222222224,72.5,false,false,false
3kklwa111lisjtbv5802ymf9,12,109.541,43.159,95.041,29.4,7,30.805,3,0.625,0.5909090909090909,0.45,0.788,1.19343,1.19116,0,0,0,0.5128205128205129,0.5555555555555557,69.25,true,false,true
3x05wfuafhlreb3nc364pkal,13,86.004,29.841,74.493,30.569,1,46.276,2,1.0,0.36363636363636365,0.519,0.879,1.70355,0.48924,0,0,0,0.4615384615384615,0.2777777777777778,67.125,true,false,true
430jmdihboype0azf2i780xo,14,88.35,42.854,101.286,28.224,0,46.449,0,1.0,1.0,0.519,0.879,3.18379,1.07798,1,0,1,0.4358974358974359,0.4166666666666667,77.75,false,false,false
45k5z94g4iakwnfnd9tq9yva,15,120.166,36.469,115.405,24.812,0,47.06,2,1.0,1.0,0.473,0.879,2.6641,1.14556,1,0,0,0.4102564102564103,0.4166666666666667,77.0,false,false,false
4bfyap7mqqhjn48u7dfvzrny,16,312.561,97.471,179.3,46.444,1,80.185,5,1.0,0.6818181818181818,0.427,0.697,2.50929,1.12933,0,0,0,0.35897435897435903,0.3333333333333333,68.875,true,false,true
4dh0c7hshdxuo0r6aivrb203,17,56.776,21.758,64.614,18.782,0,29.44,0,1.0,1.0,0.542,0.803,2.1605,1.4455,1,0,1,0.5897435897435898,0.19444444444444445,77.75,false,false,false
4qp9k15t0gx95ns80qbebmlw,18,28.645,58.721,182.896,60.811,0,93.366,4,0.875,0.8181818181818182,0.496,0.652,3.63054,1.45576,1,0,1,0.38461538461538464,0.27777777777777773,70.58333333333333,false,false,false
5z2t8pj9tzw2eqp8be917apb,19,129.231,51.1,145.887,28.098,1,76.797,5,1.0,0.9090909090909091,0.511,0.894,2.40156,0.81394,0,24,2,0.8461538461538461,0.1388888888888889,73.75,false,true,true
60yi516ynj1ne7nd5ed4n6dg,20,97.713,16.094,84.729,38.405,0,56.295,0,1.0,1.0,0.473,0.848,4.14194,1.7522,2,0,0,0.4102564102564103,0.47222222222222215,76.25,false,false,false
62arl7elzutbylaktl4xvpcm,21,159.142,103.829,112.297,32.828,0,71.982,2,1.0,0.4090909090909091,0.542,0.803,2.49739,1.15682,0,0,0,0.3333333333333333,0.19444444444444442,62.25,true,false,true
6lkvhib6rypihok3p6h1pmzs,22,44.531,17.798,55.518,23.753,1,49.545,2,1.0,0.6363636363636364,0.481,0.818,1.87945,1.55263,2,0,0,0.5897435897435898,0.3333333333333333,72.83333333333333,true,false,true
6zanrlxf63llr5uk42xwe17e,23,357.219,109.295,397.775,85.333,2,62.309,4,0.375,0.2727272727272727,0.405,0.636,2.2725,0.88158,0,0,0,0.4102564102564103,0.3055555555555555,60.41666666666667,true,false,true
8hgl3vnkj7yqrd775li3dv5b,24,208.626,79.945,136.394,55.662,4,50.164,5,1.0,0.13636363636363635,0.382,0.682,2.47369,1.50651,0,0,1,0.4615384615384615,0.3888888888888889,61.083333333333336,true,false,true
91e16jgrdhb4w2r95d9t1177,25,210.488,90.084,179.045,40.416,0,107.108,1,1.0,0.8636363636363636,0.496,0.848,4.19588,1.22505,1,0,3,0.641025641025641,0.3611111111111111,70.83333333333333,false,true,true
9nc758v1ozlphsgnv7rxygp7,26,129.501,33.339,98.892,42.699,2,48.277,1,0.5,0.9090909090909091,0.534,0.833,2.16594,0.95,0,0,0,0.38461538461538464,0.5,74.625,false,false,false
a8x8eszlmfjh1ojp522uzahg,27,344.028,41.271,138.872,22.737,0,64.549,2,1.0,1.0,0.473,0.864,2.18611,1.02229,0,0,0,0.4358974358974359,0.3888888888888889,77.0,false,false,false
asxlvfjhlc33o19ov40ts17l,28,163.164,78.124,150.995,41.441,4,43.358,5,0.875,0.6818181818181818,0.435,0.848,2.90442,1.48878,0,0,1,0.48717948717948717,0.16666666666666666,70.58333333333333,true,false,true
ayz8ow27zu4e62c3f3x6x2tc,29,275.53,82.235,211.269,115.4,1,66.759,2,1.0,0.9090909090909091,0.481,0.848,2.02998,0.81941,1,0,1,0.4615384615384615,0.5,71.75,false,false,false
bo04vo66irwa9ox5evmpiu0c,30,52.302,25.466,62.035,23.441,0,48.012,3,1.0,1.0,0.511,0.879,3.00633,1.73411,0,0,1,0.5128205128205129,0.3055555555555555,76.75,false,false,false
but6cpftxymh2t2osj2r4z42,31,681.107,34.487,111.736,42.041,2,39.798,5,0.875,0.3181818181818182,0.519,0.652,2.19751,1.27027,0,4,0,0.38461538461538464,0.27777777777777773,63.083333333333336,true,true,true
bx2gu3tel4e2491zqe6o4vch,32,490.295,46.006,75.255,55.438,4,25.333,4,0.875,0.4090909090909091,0.412,0.667,1.56593,0.99907,0,3,0,0.3076923076923077,0.4166666666666667,66.75,true,true,true
c3t12ve2p92hgbzkndft1qkf,33,88.27,57.746,71.336,14.312,0,29.025,2,0.875,0.9545454545454546,0.504,0.742,2.13499,1.18496,1,0,0,0.48717948717948717,0.3333333333333333,73.83333333333333,false,false,false
c8bc2sp9ovakjb677biwuwlc,34,435.517,136.565,292.949,67.811,1,192.321,5,0.875,0.2727272727272727,0.45,0.682,4.42792,1.25265,1,2,0,0.3076923076923077,0.2777777777777778,61.25,true,true,true
cup1t0ocx7vdcwmcqss6we7r,35,252.39,64.322,157.892,42.612,1,91.677,2,1.0,0.22727272727272727,0.336,0.667,1.43768,0.67988,1,0,1,0.3076923076923077,0.47222222222222215,66.0,true,false,true
d2fdgjtm7u4sfju8l62phqp5,36,69.931,18.837,51.786,21.363,0,72.311,2,0.875,0.9545454545454546,0.504,0.848,4.98515,1.78012,3,0,2,0.4615384615384615,0.3611111111111111,74.70833333333333,false,true,true
d5y73iedzdv7nv6yxi5l3mwh,37,100.773,31.032,106.16,40.399,1,48.998,1,1.0,0.6818181818181818,0.519,0.894,2.99953,1.78358,1,0,0,0.3076923076923077,0.3333333333333333,69.375,true,false,true
ddxk6iznnww3ywtqtvpfippg,38,201.765,49.642,126.853,54.737,0,63.195,0,1.0,1.0,0.489,0.909,2.64528,1.31835,1,0,0,0.5384615384615384,0.25,78.5,false,false,false
dht6hotwo91og90e19himxi0,39,119.223,54.727,89.664,24.595,1,39.076,2,1.0,1.0,0.458,0.712,1.78455,0.65738,0,1,1,0.3076923076923077,0.3333333333333333,76.0,false,true,true
dn2nansj97gctfin7upgr13p,40,6.98,3.095,14.834,11.646,0,24.293,1,1.0,0.9090909090909091,0.473,0.515,1.82147,0.94021,0,0,1,0.3333333333333333,0.2222222222222222,74.0,false,false,false
e1zebu4vjp0qfqddny8d4jom,41,66.036,24.46,78.633,22.469,0,45.384,2,1.0,0.6363636363636364,0.557,0.758,2.87068,1.26728,0,0,1,0.43589743589743596,0.5833333333333334,71.5,true,false,true
en92bm5pxc2t1quagibv724f,42,289.653,40.076,225.198,46.328,2,47.867,4,1.0,0.9090909090909091,0.511,0.636,2.33645,1.15659,0,0,0,0.4358974358974359,0.19444444444444442,70.08333333333333,false,false,false
ess4vqrv4nbxxv23nz1cfncg,43,59.648,34.484,236.073,39.231,0,60.348,5,0.875,0.45454545454545453,0.435,0.53,1.40905,0.92986,2,0,0,0.4871794871794872,0.25,62.0,true,false,true
euys9bu3h6kdz6nmvwkfnoca,44,33.598,23.277,33.612,23.473,6,16.658,4,0.625,0.7727272727272727,0.664,0.485,1.29171,0.38549,0,0,3,0.5128205128205128,0.3333333333333333,72.0,false,true,true
eztx9swq7h6a5813k9hvn5a3,45,141.717,28.95,107.724,17.012,0,41.114,4,0.625,0.45454545454545453,0.519,0.879,1.25591,0.33895,0,0,1,0.4615384615384615,0.5,66.75,true,false,true
f16v2rqmgqtjg0q6xv0sk0ey,46,235.637,90.808,225.294,67.787,1,126.419,5,0.5,0.4090909090909091,0.489,0.803,5.21138,1.89701,3,0,2,0.4102564102564103,0.47222222222222215,68.5,true,true,true
fimppy78bnekuf6of8381lg5,47,101.174,62.665,70.293,27.891,0,51.304,0,1.0,1.0,0.397,0.833,2.87443,1.49301,0,0,0,0.2820512820512821,0.27777777777777773,79.25,false,false,false
gbt8ibxpeg8awqo30ghobuvw,48,338.564,54.839,105.847,34.719,0,76.206,3,1.0,0.18181818181818182,0.534,0.667,1.40493,0.39696,0,24,2,0.8205128205128206,0.05555555555555555,63.333333333333336,true,true,true
gffro2kuglf7i3ii47h5ustx,49,108.003,59.741,130.129,36.408,0,44.049,3,1.0,0.3181818181818182,0.618,0.712,1.58739,0.62281,0,0,0,0.4358974358974359,0.4166666666666667,62.0,true,false,true
grmtz2soj483sblxtbt3lv68,50,116.97,34.244,118.182,40.06,1,72.443,4,1.0,0.9545454545454546,0.466,0.712,3.51566,1.50305,1,0,0,0.4102564102564103,0.27777777777777773,76.33333333333333,false,false,false
h8p65cw30v6ftx4g88at6l6k,51,198.04,63.218,347.056,39.319,1,119.961,5,1.0,0.9090909090909091,0.519,0.788,2.3882,0.64539,0,0,0,0.4615384615384615,0.2222222222222222,69.83333333333333,false,false,false
hgl6nj4mufaaqpan0aooduh2,52,47.567,8.995,80.671,73.154,2,44.672,2,1.0,0.9090909090909091,0.557,0.712,1.23395,0.71015,0,0,0,0.4358974358974359,0.6666666666666666,72.08333333333333,false,false,false
hgm8buknen80gpgrxbxnah5j,53,128.135,69.288,117.633,32.576,0,68.659,4,1.0,0.5,0.489,0.712,4.10475,1.81147,1,0,0,0.3846153846153846,0.4444444444444444,69.0,true,false,true
hjtjtri9so51agzd25ldtzqc,54,102.906,35.353,110.806,34.779,0,82.454,3,1.0,1.0,0.534,0.682,2.20216,0.98794,1,0,0,0.564102564102564,0.3055555555555555,77.25,false,false,false
hwk7avvapc6cscfpbr4t3jj3,55,90.943,45.293,120.564,36.891,3,92.94,2,0.875,0.9545454545454546,0.466,0.652,2.09755,0.69636,0,0,0,0.4615384615384615,0.25,74.25,false,false,false
ign89wyvhdx4634kppk6cw8v,56,136.63,41.12,143.004,40.394,1,50.606,3,0.875,0.9545454545454546,0.42,0.742,2.34746,0.81582,0,0,0,0.4615384615384615,0.3888888888888889,75.33333333333333,false,false,false
