trial,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold
1,1,0291yns1bxhcl5xhqez3larr,false,4628,10,2,1,2,0.5
2,1,0291yns1bxhcl5xhqez3larr,false,5129,4,9,0,4,0.75
3,1,0291yns1bxhcl5xhqez3larr,true,-1,5,6,-1,-1,0.75
4,1,0291yns1bxhcl5xhqez3larr,false,1894,5,10,0,5,1.25
5,1,0291yns1bxhcl5xhqez3larr,false,4234,9,5,1,5,1.75
6,1,0291yns1bxhcl5xhqez3larr,false,2816,10,1,1,1,2.25
7,1,0291yns1bxhcl5xhqez3larr,false,2013,7,1,0,7,2.625
8,1,0291yns1bxhcl5xhqez3larr,false,3013,6,4,1,4,3.25
9,1,0291yns1bxhcl5xhqez3larr,false,2402,6,2,0,6,3.5833333333333335
10,1,0291yns1bxhcl5xhqez3larr,false,3765,5,1,1,1,4.083333333333334
11,1,0291yns1bxhcl5xhqez3larr,false,2717,6,7,0,6,4.416666666666667
12,1,0291yns1bxhcl5xhqez3larr,false,5751,8,0,1,0,5.416666666666667
13,1,0291yns1bxhcl5xhqez3larr,false,2631,9,7,0,9,5.666666666666667
14,1,0291yns1bxhcl5xhqez3larr,false,3481,5,0,1,0,6.666666666666667
15,1,0291yns1bxhcl5xhqez3larr,false,2991,11,3,0,11,7.5
16,1,0291yns1bxhcl5xhqez3larr,false,2769,5,3,1,3,8.0
17,1,0291yns1bxhcl5xhqez3larr,false,4684,2,9,1,9,8.25
18,1,0291yns1bxhcl5xhqez3larr,false,5017,3,0,0,3,8.75
19,1,0291yns1bxhcl5xhqez3larr,false,2548,9,0,1,0,9.75
20,1,0291yns1bxhcl5xhqez3larr,false,4751,4,1,1,1,10.25
21,1,0291yns1bxhcl5xhqez3larr,false,5173,4,2,1,2,11.5
22,1,0291yns1bxhcl5xhqez3larr,false,2998,1,0,1,0,12.5
23,1,0291yns1bxhcl5xhqez3larr,false,1980,1,5,0,1,13.0
24,1,0291yns1bxhcl5xhqez3larr,false,3852,8,11,1,11,13.5
25,1,0291yns1bxhcl5xhqez3larr,false,2436,11,7,0,11,14.0
26,1,0291yns1bxhcl5xhqez3larr,false,4111,9,6,0,9,14.25
27,1,0291yns1bxhcl5xhqez3larr,false,1653,7,3,0,7,14.625
28,1,0291yns1bxhcl5xhqez3larr,false,4913,3,6,1,6,15.333333333333334
29,1,0291yns1bxhcl5xhqez3larr,false,2234,10,7,0,10,15.583333333333334
30,1,0291yns1bxhcl5xhqez3larr,false,2879,3,4,0,3,16.083333333333336
31,1,0291yns1bxhcl5xhqez3larr,false,2132,4,8,0,4,16.333333333333336
32,1,0291yns1bxhcl5xhqez3larr,false,2287,1,11,1,11,16.833333333333336
33,1,0291yns1bxhcl5xhqez3larr,false,2645,4,5,1,5,17.333333333333336
34,1,0291yns1bxhcl5xhqez3larr,false,2448,2,11,1,11,18.5
35,1,0291yns1bxhcl5xhqez3larr,false,4879,10,0,1,0,19.5
36,1,0291yns1bxhcl5xhqez3larr,false,3299,3,5,0,3,20.0
37,1,0291yns1bxhcl5xhqez3larr,false,1766,0,1,0,0,21.0
38,1,0291yns1bxhcl5xhqez3larr,false,2019,0,3,0,0,22.0
39,1,0291yns1bxhcl5xhqez3larr,false,2015,11,0,1,0,23.0
40,1,0291yns1bxhcl5xhqez3larr,false,1616,10,8,0,10,23.25
41,1,0291yns1bxhcl5xhqez3larr,false,4038,9,3,1,3,24.5
42,1,0291yns1bxhcl5xhqez3larr,false,4248,1,7,0,1,25.0
43,1,0291yns1bxhcl5xhqez3larr,false,2070,7,6,1,6,25.333333333333332
44,1,0291yns1bxhcl5xhqez3larr,false,3100,11,5,0,11,25.833333333333332
45,1,0291yns1bxhcl5xhqez3larr,false,2663,7,11,1,11,26.333333333333332
46,1,0291yns1bxhcl5xhqez3larr,false,2116,8,7,1,7,26.708333333333332
47,1,0291yns1bxhcl5xhqez3larr,false,3186,6,0,1,0,27.708333333333332
48,1,0291yns1bxhcl5xhqez3larr,false,4510,10,4,0,10,28.25
49,1,0291yns1bxhcl5xhqez3larr,false,3682,10,9,1,9,28.5
50,1,0291yns1bxhcl5xhqez3larr,false,3753,5,9,1,9,28.75
51,1,0291yns1bxhcl5xhqez3larr,false,3534,8,1,1,1,29.25
52,1,0291yns1bxhcl5xhqez3larr,false,1432,4,3,0,4,29.5
53,1,0291yns1bxhcl5xhqez3larr,false,2980,3,1,1,1,30.0
54,1,0291yns1bxhcl5xhqez3larr,false,1733,8,6,1,6,30.333333333333332
55,1,0291yns1bxhcl5xhqez3larr,false,2863,2,3,1,3,31.5
