ID,subject,GB_condition,inst1_RT,inst2_RT,inst3_RT,inst4_RT,inst5_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,comprehension3_RT,comprehension3_error,gold_practice_successrate,bomb_practice_successrate,room1preference,room1preference_gold,action_repeating_gold,choice_consistency_gold,selection_mRT_gold,selection_dRT_gold,selection_timeout_gold,room1preference_bomb,action_repeating_bomb,choice_consistency_bomb,selection_mRT_bomb,selection_dRT_bomb,selection_timeout_bomb,skip_survey,attention_check_fail,straightlining,zigzagging,collected_gold,collected_bomb,task_outliers,survey_outliers,outliers
00r4qa1apg61e9jrg8f7dmym,1,1,45.028,17.681,86.24,31.625,42.188,14.84,2,32.916,3,15.59,0,1.0,1.0,0.96875,0.9375,0.521,0.917,2.11314,0.9669,1,1.0,0.451,0.944,1.65588,0.81688,0,0,0,0.35897435897435903,0.3611111111111111,42.875,28.125,false,false,false
01z6l1ieafq2fmtibm2ixuad,2,0,165.302,63.74,114.311,33.068,50.128,48.465,2,51.541,0,33.531,1,0.875,1.0,1.0,1.0,0.577,0.944,2.95536,1.78031,0,1.0,0.479,0.889,3.84699,1.76291,0,0,0,0.5384615384615384,0.3611111111111111,45.833333333333336,26.166666666666668,false,false,false
08jos05kd4o9ze7ns929qyaa,3,0,102.185,61.648,90.788,30.747,43.498,29.09,3,19.949,2,15.968,0,0.375,0.5,0.46875,0.5,1.0,0.0,0.75082,0.60256,0,0.4375,0.732,0.472,0.80747,0.60771,0,0,3,0.43589743589743596,0.75,36.5,36.5,true,true,true
09ym7c77o609ux5ev1uxznko,4,0,119.556,41.357,101.02,29.357,60.654,22.008,0,56.321,2,40.352,1,1.0,0.875,0.5625,0.75,0.493,0.917,2.18411,0.87222,0,0.375,0.493,0.889,2.36186,0.84682,0,0,0,0.5641025641025641,0.3611111111111111,40.5,37.5,true,false,true
0diycao0zkx05yjcjnnspdbd,5,1,118.311,59.0,102.748,31.362,70.596,22.363,0,41.244,1,51.527,4,1.0,1.0,0.8125,0.6875,0.352,0.806,2.76375,1.52196,0,0.9375,0.521,0.833,2.05613,1.71392,0,0,0,0.5897435897435898,0.08333333333333333,39.333333333333336,28.25,true,false,true
0jctvqmffw0yi2l0p0oazcld,6,1,101.339,30.661,80.788,35.149,41.084,25.984,0,41.685,2,31.11,3,0.75,1.0,0.96875,0.9375,0.577,0.639,2.21428,0.89952,0,1.0,0.451,0.806,1.56203,0.74492,0,0,0,0.3333333333333333,0.25,40.5,30.5,false,false,false
0l91h0dnvm4hrihd8zam42hg,7,1,234.514,187.391,180.02,165.374,1935.372,52.32,4,39.306,2,59.816,5,0.75,0.875,0.5625,0.5,0.423,0.833,3.34127,1.84035,2,0.625,0.507,0.722,3.03941,2.06723,3,14,2,0.5384615384615384,0.3055555555555556,35.0,33.0,true,true,true
0qrxuph0uq6j2wnoo2s1eyn1,8,1,71.145,23.144,75.646,24.623,42.873,25.023,0,34.846,0,19.67,0,1.0,1.0,1.0,1.0,0.451,0.833,3.30538,1.76883,1,1.0,0.451,0.944,2.15062,1.16879,0,0,0,0.358974358974359,0.4444444444444445,44.25,27.625,false,false,false
0rys001793r32lrkad711qam,9,0,119.276,59.48,115.88,28.511,71.912,42.565,1,67.891,2,37.927,1,1.0,1.0,0.90625,1.0,0.535,0.861,1.81249,0.49446,0,0.8125,0.493,0.694,2.15915,0.8951,1,0,0,0.3333333333333333,0.27777777777777773,43.833333333333336,31.166666666666668,false,false,false
0t11mhdwjavq8tbfv19dkbuu,10,0,138.085,95.308,114.557,28.963,47.452,35.395,2,67.121,1,52.211,3,1.0,1.0,0.84375,1.0,0.451,0.833,2.38506,1.34683,0,0.6875,0.521,0.444,3.58007,2.40897,0,2,1,0.4358974358974359,0.5,43.333333333333336,32.666666666666664,true,true,true
0vho3pad7lzp4gwc71lsyrqu,11,0,242.833,161.117,189.864,52.919,73.905,53.153,1,75.85,4,47.154,2,1.0,1.0,0.9375,0.9375,0.451,0.722,2.89585,1.23539,0,0.9375,0.479,0.694,2.51575,0.79698,0,0,0,0.4102564102564103,0.19444444444444445,42.333333333333336,29.666666666666668,false,false,false
