trial,GB_condition,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold,bomb,Gtrials
1,true,1,00r4qa1apg61e9jrg8f7dmym,true,-1,8,1,-1,-1,0.0,0.0,1
2,true,1,00r4qa1apg61e9jrg8f7dmym,false,2110,4,0,1,0,1.0,0.0,1
3,true,1,00r4qa1apg61e9jrg8f7dmym,false,2592,0,9,0,0,2.0,0.0,1
4,true,1,00r4qa1apg61e9jrg8f7dmym,false,3066,2,4,0,2,2.5,0.0,1
5,true,1,00r4qa1apg61e9jrg8f7dmym,false,1678,0,1,0,0,3.5,0.0,1
6,true,1,00r4qa1apg61e9jrg8f7dmym,false,2791,2,6,0,2,4.0,0.0,1
7,true,1,00r4qa1apg61e9jrg8f7dmym,false,1918,5,7,0,5,4.5,0.0,1
8,true,1,00r4qa1apg61e9jrg8f7dmym,false,1937,2,0,1,0,6.0,0.0,1
9,true,1,00r4qa1apg61e9jrg8f7dmym,false,2399,0,6,1,6,6.333333333333333,0.0,1
10,true,1,00r4qa1apg61e9jrg8f7dmym,false,1460,6,9,0,6,6.666666666666666,0.0,1
11,true,1,00r4qa1apg61e9jrg8f7dmym,false,1614,9,8,1,8,6.916666666666666,0.0,1
12,true,1,00r4qa1apg61e9jrg8f7dmym,false,2031,6,5,1,5,7.416666666666666,0.0,1
13,true,1,00r4qa1apg61e9jrg8f7dmym,false,2328,7,1,1,1,7.916666666666666,0.0,1
14,true,1,00r4qa1apg61e9jrg8f7dmym,false,1893,0,4,0,0,8.916666666666666,0.0,1
15,true,1,00r4qa1apg61e9jrg8f7dmym,false,1701,6,7,0,6,9.333333333333334,0.0,1
16,true,1,00r4qa1apg61e9jrg8f7dmym,false,1819,8,6,0,8,9.583333333333334,0.0,1
17,true,1,00r4qa1apg61e9jrg8f7dmym,false,3058,6,1,0,6,9.916666666666668,0.0,1
18,true,1,00r4qa1apg61e9jrg8f7dmym,false,1440,4,9,0,4,10.166666666666668,0.0,1
19,true,1,00r4qa1apg61e9jrg8f7dmym,false,2344,9,1,1,1,10.666666666666668,0.0,1
20,true,1,00r4qa1apg61e9jrg8f7dmym,false,2280,4,8,1,8,10.916666666666668,0.0,1
21,true,1,00r4qa1apg61e9jrg8f7dmym,false,2432,9,7,1,7,11.291666666666668,0.0,1
22,true,1,00r4qa1apg61e9jrg8f7dmym,false,1802,7,6,1,6,12.333333333333334,0.0,1
23,true,1,00r4qa1apg61e9jrg8f7dmym,false,1325,1,2,1,2,12.833333333333334,0.0,1
24,true,1,00r4qa1apg61e9jrg8f7dmym,false,1102,1,0,1,0,13.833333333333334,0.0,1
25,true,1,00r4qa1apg61e9jrg8f7dmym,false,1391,1,7,0,1,14.333333333333334,0.0,1
26,true,1,00r4qa1apg61e9jrg8f7dmym,false,1582,4,5,1,5,14.833333333333334,0.0,1
27,true,1,00r4qa1apg61e9jrg8f7dmym,false,1833,5,6,0,5,15.333333333333334,0.0,1
28,true,1,00r4qa1apg61e9jrg8f7dmym,false,1591,1,4,0,1,15.833333333333334,0.0,1
29,true,1,00r4qa1apg61e9jrg8f7dmym,false,952,0,8,0,0,17.0,0.0,1
30,true,1,00r4qa1apg61e9jrg8f7dmym,false,1521,6,2,1,2,17.5,0.0,1
31,true,1,00r4qa1apg61e9jrg8f7dmym,false,1200,1,9,0,1,18.0,0.0,1
32,true,1,00r4qa1apg61e9jrg8f7dmym,false,1483,1,5,1,5,18.5,0.0,1
33,true,1,00r4qa1apg61e9jrg8f7dmym,false,762,0,7,0,0,19.5,0.0,1
34,true,1,00r4qa1apg61e9jrg8f7dmym,false,2186,5,4,0,5,20.0,0.0,1
35,true,1,00r4qa1apg61e9jrg8f7dmym,false,3600,1,6,0,1,20.5,0.0,1
36,true,1,00r4qa1apg61e9jrg8f7dmym,false,1165,5,0,1,0,22.0,0.0,1
37,true,1,00r4qa1apg61e9jrg8f7dmym,false,2920,9,6,1,6,22.333333333333332,0.0,1
38,true,1,00r4qa1apg61e9jrg8f7dmym,false,1233,2,9,0,2,22.833333333333332,0.0,1
39,true,1,00r4qa1apg61e9jrg8f7dmym,false,3716,5,8,0,5,23.333333333333332,0.0,1
40,true,1,00r4qa1apg61e9jrg8f7dmym,false,1042,6,0,1,0,24.333333333333332,0.0,1
41,true,1,00r4qa1apg61e9jrg8f7dmym,false,3691,2,5,1,5,24.833333333333332,0.0,1
42,true,1,00r4qa1apg61e9jrg8f7dmym,false,3627,6,4,0,6,25.166666666666664,0.0,1
43,true,1,00r4qa1apg61e9jrg8f7dmym,false,2038,4,2,1,2,26.5,0.0,1
44,true,1,00r4qa1apg61e9jrg8f7dmym,false,1489,2,7,0,2,27.0,0.0,1
45,true,1,00r4qa1apg61e9jrg8f7dmym,false,3698,4,7,1,7,27.375,0.0,1
46,true,1,00r4qa1apg61e9jrg8f7dmym,false,4610,6,8,1,8,27.625,0.0,1
47,true,1,00r4qa1apg61e9jrg8f7dmym,false,1063,0,5,0,0,28.625,0.0,1
48,true,1,00r4qa1apg61e9jrg8f7dmym,false,2641,4,6,1,6,28.958333333333332,0.0,1
49,true,1,00r4qa1apg61e9jrg8f7dmym,false,2139,8,2,1,2,29.458333333333332,0.0,1
50,true,1,00r4qa1apg61e9jrg8f7dmym,false,1912,2,8,0,2,30.5,0.0,1
51,true,1,00r4qa1apg61e9jrg8f7dmym,false,1951,8,9,0,8,30.75,0.0,1
52,true,1,00r4qa1apg61e9jrg8f7dmym,false,907,8,0,1,0,31.75,0.0,1
53,true,1,00r4qa1apg61e9jrg8f7dmym,false,1533,5,9,0,5,32.25,0.0,1
54,true,1,00r4qa1apg61e9jrg8f7dmym,false,769,9,0,1,0,33.25,0.0,1
55,true,1,00r4qa1apg61e9jrg8f7dmym,false,988,0,2,0,0,34.25,0.0,1
56,true,1,00r4qa1apg61e9jrg8f7dmym,false,3481,7,4,0,7,34.625,0.0,1
57,true,1,00r4qa1apg61e9jrg8f7dmym,false,1808,4,1,1,1,35.5,0.0,1
58,true,1,00r4qa1apg61e9jrg8f7dmym,false,2271,7,2,1,2,36.0,0.0,1
59,true,1,00r4qa1apg61e9jrg8f7dmym,false,4065,1,8,1,8,36.25,0.0,1
60,true,1,00r4qa1apg61e9jrg8f7dmym,false,1394,7,5,1,5,36.75,0.0,1
61,true,1,00r4qa1apg61e9jrg8f7dmym,false,948,7,0,1,0,37.75,0.0,1
62,true,1,00r4qa1apg61e9jrg8f7dmym,false,1349,8,5,1,5,38.25,0.0,1
63,true,1,00r4qa1apg61e9jrg8f7dmym,false,1990,9,5,1,5,38.75,0.0,1
64,true,1,00r4qa1apg61e9jrg8f7dmym,false,3231,7,8,1,8,39.25,0.0,1
65,true,1,00r4qa1apg61e9jrg8f7dmym,false,3912,5,2,0,5,39.75,0.0,1
66,true,1,00r4qa1apg61e9jrg8f7dmym,false,4471,9,4,1,4,40.0,0.0,1
67,true,1,00r4qa1apg61e9jrg8f7dmym,false,4222,8,7,0,8,40.25,0.0,1
68,true,1,00r4qa1apg61e9jrg8f7dmym,false,2163,8,4,0,8,40.5,0.0,1
69,true,1,00r4qa1apg61e9jrg8f7dmym,false,1397,9,2,1,2,41.0,0.0,1
70,true,1,00r4qa1apg61e9jrg8f7dmym,false,2412,5,1,0,5,41.5,0.0,1
71,true,1,00r4qa1apg61e9jrg8f7dmym,false,1446,7,9,0,7,42.375,0.0,1
72,true,1,00r4qa1apg61e9jrg8f7dmym,false,1120,2,1,0,2,42.875,0.0,1
73,false,2,01z6l1ieafq2fmtibm2ixuad,false,5176,1,5,0,1,0.5,26.166666666666668,1
74,false,2,01z6l1ieafq2fmtibm2ixuad,false,1872,7,0,1,0,1.5,26.166666666666668,1
75,false,2,01z6l1ieafq2fmtibm2ixuad,false,2955,9,2,1,2,2.0,26.166666666666668,1
76,false,2,01z6l1ieafq2fmtibm2ixuad,false,6737,4,6,1,6,2.3333333333333335,26.166666666666668,1
77,false,2,01z6l1ieafq2fmtibm2ixuad,false,3329,7,8,0,7,2.7083333333333335,26.166666666666668,1
78,false,2,01z6l1ieafq2fmtibm2ixuad,false,4115,6,1,1,1,3.2083333333333335,26.166666666666668,1
79,false,2,01z6l1ieafq2fmtibm2ixuad,false,2834,0,6,0,0,4.208333333333334,26.166666666666668,1
80,false,2,01z6l1ieafq2fmtibm2ixuad,false,5159,4,5,1,5,5.5,26.166666666666668,1
81,false,2,01z6l1ieafq2fmtibm2ixuad,false,2184,2,0,1,0,6.5,26.166666666666668,1
82,false,2,01z6l1ieafq2fmtibm2ixuad,false,2319,9,4,1,4,6.75,26.166666666666668,1
83,false,2,01z6l1ieafq2fmtibm2ixuad,false,2893,4,2,1,2,7.25,26.166666666666668,1
84,false,2,01z6l1ieafq2fmtibm2ixuad,false,2528,6,5,1,5,7.75,26.166666666666668,1
85,false,2,01z6l1ieafq2fmtibm2ixuad,false,2513,6,9,0,6,8.083333333333334,26.166666666666668,1
86,false,2,01z6l1ieafq2fmtibm2ixuad,false,2031,8,1,1,1,8.583333333333334,26.166666666666668,1
87,false,2,01z6l1ieafq2fmtibm2ixuad,false,3521,1,8,0,1,9.5,26.166666666666668,1
88,false,2,01z6l1ieafq2fmtibm2ixuad,false,5742,8,4,0,8,9.75,26.166666666666668,1
89,false,2,01z6l1ieafq2fmtibm2ixuad,false,4788,7,2,1,2,10.25,26.166666666666668,1
90,false,2,01z6l1ieafq2fmtibm2ixuad,false,1102,9,0,1,0,11.25,26.166666666666668,1
91,false,2,01z6l1ieafq2fmtibm2ixuad,false,1328,5,0,1,0,12.25,26.166666666666668,1
92,false,2,01z6l1ieafq2fmtibm2ixuad,false,3636,2,4,0,2,12.75,26.166666666666668,1
93,false,2,01z6l1ieafq2fmtibm2ixuad,false,1618,9,1,1,1,13.25,26.166666666666668,1
94,false,2,01z6l1ieafq2fmtibm2ixuad,false,9587,9,6,1,6,14.333333333333334,26.166666666666668,1
95,false,2,01z6l1ieafq2fmtibm2ixuad,false,5041,8,7,1,7,14.708333333333334,26.166666666666668,1
96,false,2,01z6l1ieafq2fmtibm2ixuad,false,1138,8,0,1,0,15.708333333333334,26.166666666666668,1
97,false,2,01z6l1ieafq2fmtibm2ixuad,false,3007,5,8,0,5,16.208333333333336,26.166666666666668,1
98,false,2,01z6l1ieafq2fmtibm2ixuad,false,2980,1,7,0,1,16.708333333333336,26.166666666666668,1
99,false,2,01z6l1ieafq2fmtibm2ixuad,false,5538,5,1,0,5,17.208333333333336,26.166666666666668,1
100,false,2,01z6l1ieafq2fmtibm2ixuad,false,1411,0,7,0,0,18.208333333333336,26.166666666666668,1
101,false,2,01z6l1ieafq2fmtibm2ixuad,false,6990,5,7,0,5,19.5,26.166666666666668,1
102,false,2,01z6l1ieafq2fmtibm2ixuad,false,3681,7,9,0,7,19.875,26.166666666666668,1
103,false,2,01z6l1ieafq2fmtibm2ixuad,false,2899,7,6,0,7,20.25,26.166666666666668,1
104,false,2,01z6l1ieafq2fmtibm2ixuad,false,1932,7,1,1,1,20.75,26.166666666666668,1
105,false,2,01z6l1ieafq2fmtibm2ixuad,false,2091,4,7,1,7,21.125,26.166666666666668,1
106,false,2,01z6l1ieafq2fmtibm2ixuad,false,2504,8,2,1,2,21.625,26.166666666666668,1
107,false,2,01z6l1ieafq2fmtibm2ixuad,false,1354,0,5,0,0,22.625,26.166666666666668,1
108,false,2,01z6l1ieafq2fmtibm2ixuad,false,9590,1,0,1,0,24.0,26.166666666666668,1
109,false,2,01z6l1ieafq2fmtibm2ixuad,false,1606,7,5,1,5,24.5,26.166666666666668,1
110,false,2,01z6l1ieafq2fmtibm2ixuad,false,1517,0,9,0,0,25.5,26.166666666666668,1
111,false,2,01z6l1ieafq2fmtibm2ixuad,false,3854,6,4,0,6,25.833333333333332,26.166666666666668,1
112,false,2,01z6l1ieafq2fmtibm2ixuad,false,2055,9,7,1,7,26.208333333333332,26.166666666666668,1
113,false,2,01z6l1ieafq2fmtibm2ixuad,false,1981,4,9,0,4,26.458333333333332,26.166666666666668,1
114,false,2,01z6l1ieafq2fmtibm2ixuad,false,2812,4,0,1,0,27.458333333333332,26.166666666666668,1
115,false,2,01z6l1ieafq2fmtibm2ixuad,false,2751,7,4,0,7,28.375,26.166666666666668,1
116,false,2,01z6l1ieafq2fmtibm2ixuad,false,2782,4,8,1,8,28.625,26.166666666666668,1
117,false,2,01z6l1ieafq2fmtibm2ixuad,false,1646,8,5,1,5,29.125,26.166666666666668,1
118,false,2,01z6l1ieafq2fmtibm2ixuad,false,1250,0,4,0,0,30.125,26.166666666666668,1
