Subject,ID,LOC1_Q1,LOC1_Q2,LOC1_Q3,LOC1_Q4,LOC1_Q5,LOC1_Q6,LOC1_Q7,LOC1_Q8,LOC1_Q9,LOC1_Q10,LOC1_Q11,LOC1_Q12,LOC1_Q13,LOC1_straightlining,LOC1_zigzagging,LOC2_Q1,LOC2_Q2,LOC2_Q3,LOC2_Q4,LOC2_Q5,LOC2_Q6,LOC2_Q7,LOC2_Q8,LOC2_Q9,LOC2_Q10,LOC2_Q11,LOC2_Q12,LOC2_Q13,LOC2_straightlining,LOC2_zigzagging,IUS_Q1,IUS_Q2,IUS_Q3,IUS_Q4,IUS_Q5,IUS_Q6,IUS_Q7,IUS_Q8,IUS_Q9,IUS_Q10,IUS_Q11,IUS_Q12,IUS_Q13,IUS_straightlining,IUS_zigzagging,age,gender,gender-free-response,sex,sex-free-response,education,mental-demand,task-instructions,performance,effort,strategy,feedback,rm_article_outline,img,rm_article_meta,rm_article_author,rm_article_reading_time,rm_article_source,rm_reading_ruler,use_custom_css
1,00r4qa1apg61e9jrg8f7dmym,3.0,2.0,2.0,5.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,0.38461538461538464,0.25,2.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,0.0,3.0,1.0,4.0,2.0,0.38461538461538464,0.16666666666666666,2.0,3.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,1.0,1.0,2.0,1.0,0.3076923076923077,0.6666666666666666,20,Man,,Male,,Some college,3,5,3,2,,,,,,,,,,
2,01z6l1ieafq2fmtibm2ixuad,4.0,2.0,2.0,5.0,5.0,4.0,3.0,3.0,3.0,2.0,4.0,2.0,2.0,0.38461538461538464,0.25,4.0,3.0,3.0,4.0,1.0,4.0,4.0,4.0,0.0,5.0,3.0,4.0,3.0,0.46153846153846156,0.3333333333333333,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,0.7692307692307693,0.5,34,Man,,Male,,Bachelor degree,3,4,5,3,I wanted to be in control of the situation as much as I can,no,,,,,,,,
3,08jos05kd4o9ze7ns929qyaa,3.0,2.0,2.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,0.46153846153846156,0.75,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,0.38461538461538464,0.6666666666666666,2.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,0.46153846153846156,0.8333333333333334,30,Woman,,Male,,Bachelor degree,3,3,3,3,yes,great,,,,,,,,
4,09ym7c77o609ux5ev1uxznko,4.0,3.0,4.0,5.0,0.0,3.0,4.0,1.0,5.0,4.0,4.0,4.0,4.0,0.5384615384615384,0.4166666666666667,4.0,3.0,4.0,4.0,4.0,0.0,2.0,4.0,0.0,4.0,4.0,3.0,2.0,0.5384615384615384,0.3333333333333333,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,0.6153846153846154,0.3333333333333333,35,Man,,Male,,Master degree or higher,0,5,2,1,I just tried to follow the instructions as best I could. No special strategies.,This was interesting. Thank you and good luck with your research!,,,,,,,,
5,0diycao0zkx05yjcjnnspdbd,5.0,5.0,0.0,5.0,0.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,5.0,0.46153846153846156,0.08333333333333333,0.0,4.0,3.0,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,3.0,4.0,0.38461538461538464,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,23,Woman,,Female,,Some college,5,5,2,5,,,,,,,,,,
6,0jctvqmffw0yi2l0p0oazcld,5.0,1.0,3.0,5.0,1.0,4.0,4.0,0.0,4.0,3.0,5.0,3.0,0.0,0.23076923076923078,0.08333333333333333,4.0,1.0,3.0,2.0,0.0,3.0,4.0,4.0,0.0,5.0,1.0,4.0,1.0,0.3076923076923077,0.16666666666666666,1.0,0.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,1.0,3.0,2.0,1.0,0.46153846153846156,0.5,27,Man,,Male,,Bachelor degree,1,5,3,2,I was trying to opt for the room that would offer me the most actions possible with the less variety in probability.,Νone.,,,,,,,,
7,0l91h0dnvm4hrihd8zam42hg,4.0,3.0,2.0,5.0,2.0,4.0,2.0,3.0,2.0,1.0,4.0,3.0,1.0,0.3076923076923077,0.5,NaN,NaN,1.0,3.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,5.0,4.0,0.3076923076923077,0.4166666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0,0.0,26,Man,,Male,,Bachelor degree,5,5,5,5,No.,No.,,,,,,,,
8,0qrxuph0uq6j2wnoo2s1eyn1,5.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,2.0,0.3076923076923077,0.4166666666666667,3.0,1.0,3.0,3.0,2.0,4.0,4.0,2.0,0.0,4.0,3.0,4.0,3.0,0.38461538461538464,0.3333333333333333,2.0,3.0,1.0,2.0,1.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,0.0,0.38461538461538464,0.5833333333333334,28,Man,,Male,,Some college,2,5,5,4,,,,,,,,,,
9,0rys001793r32lrkad711qam,4.0,2.0,2.0,5.0,3.0,4.0,1.0,2.0,1.0,3.0,4.0,1.0,3.0,0.23076923076923078,0.3333333333333333,0.0,2.0,0.0,3.0,1.0,3.0,4.0,3.0,0.0,3.0,0.0,4.0,2.0,0.3076923076923077,0.16666666666666666,0.0,1.0,0.0,3.0,0.0,0.0,0.0,4.0,2.0,1.0,1.0,1.0,0.0,0.46153846153846156,0.3333333333333333,50,Man,,Male,,Master degree or higher,3,5,4,3,Tried to read the options with more probability to happen.,Great study. best of luck!,,,,,,,,
10,0t11mhdwjavq8tbfv19dkbuu,4.0,3.0,1.0,5.0,4.0,3.0,4.0,4.0,NaN,3.0,4.0,1.0,3.0,0.38461538461538464,0.4166666666666667,4.0,3.0,NaN,4.0,3.0,2.0,4.0,4.0,0.0,5.0,4.0,5.0,3.0,0.38461538461538464,0.4166666666666667,3.0,4.0,2.0,3.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,0.5384615384615384,0.6666666666666666,24,Woman,,Female,,Bachelor degree,3,5,3,2,,,,,,,,,,
