ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,task_outliers,survey_outliers,outliers
0dm8n93i3b3dem17yoywtbb5,1,54.975,15.251,47.946,53.646,0,50.209,0,1.0,1.0,0.507,0.833,3.06339,1.50117,0,5,0,0.3076923076923077,0.3055555555555556,false,true,true
0obh34ls9kjfci43xg5o76nh,2,222.484,90.117,159.365,77.342,1,110.859,2,0.6666666666666666,1.0,0.437,0.917,5.30878,4.75092,0,0,0,0.35897435897435903,0.4444444444444445,false,false,false
0prb8dvs1jzy56wv4wnlfe07,3,99.834,54.586,82.451,35.878,1,54.732,2,0.8333333333333334,0.75,0.535,0.944,3.04886,1.96022,0,0,0,0.35897435897435903,0.3055555555555555,false,false,false
0r7o3dvk5f6vabpcba3x6a6e,4,70.17,33.645,53.96,30.486,0,20.304,0,1.0,1.0,0.634,0.944,2.66115,1.90759,0,0,0,0.4358974358974359,0.38888888888888884,false,false,false
11kwsnslim1o5q4vl04p46ox,5,76.111,32.974,74.131,29.037,0,54.551,3,1.0,1.0,0.479,0.833,4.25931,2.65558,0,0,0,0.4102564102564103,0.25,false,false,false
16yvw4ickw19p3b01okj4nn3,6,40.159,24.212,54.656,25.452,1,43.998,2,1.0,1.0,0.606,0.889,4.24928,3.16829,0,0,0,0.4102564102564103,0.3611111111111111,false,false,false
1bz5r0m23e1yszjn3c7ptnhe,7,163.737,63.821,122.036,36.44,1,98.925,5,0.8333333333333334,1.0,0.437,0.889,10.93488,5.93082,0,0,1,0.38461538461538464,0.3888888888888889,false,false,false
1iwxlu9lza2muiiily3v2h48,8,292.175,51.208,107.32,60.658,1,53.995,1,0.6666666666666666,1.0,0.549,0.694,3.08793,2.29125,0,25,0,0.6410256410256411,0.25,false,true,true
1k2bob2zbupq1n3uiq0yu0th,9,409.644,38.71,414.486,49.773,0,143.892,3,0.8333333333333334,1.0,0.465,0.861,6.94596,5.14563,1,0,0,0.6153846153846154,0.3888888888888889,false,false,false
1s7dpb12ra7657kwkcalnnxl,10,87.759,51.378,101.17,43.684,1,84.066,3,0.8333333333333334,1.0,0.423,0.778,7.18394,5.02598,0,0,0,0.3076923076923077,0.19444444444444442,false,false,false
