trial,subject,ID,timeout,rt,room1,room2,action,chosenroom
1,1,0dm8n93i3b3dem17yoywtbb5,false,4270,9,8,1,8
2,1,0dm8n93i3b3dem17yoywtbb5,false,5448,9,0,1,0
3,1,0dm8n93i3b3dem17yoywtbb5,false,3800,7,8,0,7
4,1,0dm8n93i3b3dem17yoywtbb5,false,5508,2,9,0,2
5,1,0dm8n93i3b3dem17yoywtbb5,false,2727,4,7,0,4
6,1,0dm8n93i3b3dem17yoywtbb5,false,1881,9,5,1,5
7,1,0dm8n93i3b3dem17yoywtbb5,false,2560,2,5,1,5
8,1,0dm8n93i3b3dem17yoywtbb5,false,2462,6,9,0,6
9,1,0dm8n93i3b3dem17yoywtbb5,false,1994,0,1,0,0
10,1,0dm8n93i3b3dem17yoywtbb5,false,2355,7,4,1,4
11,1,0dm8n93i3b3dem17yoywtbb5,false,3393,1,8,0,1
12,1,0dm8n93i3b3dem17yoywtbb5,false,9624,4,6,1,6
13,1,0dm8n93i3b3dem17yoywtbb5,false,2827,9,2,1,2
14,1,0dm8n93i3b3dem17yoywtbb5,false,2262,4,0,1,0
15,1,0dm8n93i3b3dem17yoywtbb5,false,2930,1,0,1,0
16,1,0dm8n93i3b3dem17yoywtbb5,false,2927,7,9,0,7
17,1,0dm8n93i3b3dem17yoywtbb5,false,4372,7,1,1,1
18,1,0dm8n93i3b3dem17yoywtbb5,false,3159,8,5,1,5
19,1,0dm8n93i3b3dem17yoywtbb5,false,2280,8,2,1,2
20,1,0dm8n93i3b3dem17yoywtbb5,false,3588,5,1,0,5
21,1,0dm8n93i3b3dem17yoywtbb5,false,3626,2,6,0,2
22,1,0dm8n93i3b3dem17yoywtbb5,false,7119,2,0,1,0
23,1,0dm8n93i3b3dem17yoywtbb5,false,3231,1,9,0,1
24,1,0dm8n93i3b3dem17yoywtbb5,false,5230,5,4,1,4
25,1,0dm8n93i3b3dem17yoywtbb5,false,3257,5,2,0,5
26,1,0dm8n93i3b3dem17yoywtbb5,false,1684,4,8,0,4
27,1,0dm8n93i3b3dem17yoywtbb5,false,2444,5,7,0,5
28,1,0dm8n93i3b3dem17yoywtbb5,false,1815,0,4,0,0
29,1,0dm8n93i3b3dem17yoywtbb5,false,1990,5,0,1,0
30,1,0dm8n93i3b3dem17yoywtbb5,false,2246,4,1,0,4
31,1,0dm8n93i3b3dem17yoywtbb5,false,2011,0,5,0,0
32,1,0dm8n93i3b3dem17yoywtbb5,false,4099,2,8,0,2
33,1,0dm8n93i3b3dem17yoywtbb5,false,1676,8,4,1,4
34,1,0dm8n93i3b3dem17yoywtbb5,false,1698,8,0,1,0
35,1,0dm8n93i3b3dem17yoywtbb5,false,2319,6,5,1,5
36,1,0dm8n93i3b3dem17yoywtbb5,false,5095,1,4,0,1
37,1,0dm8n93i3b3dem17yoywtbb5,false,1384,0,8,0,0
38,1,0dm8n93i3b3dem17yoywtbb5,false,2380,6,8,0,6
39,1,0dm8n93i3b3dem17yoywtbb5,false,2269,5,9,0,5
40,1,0dm8n93i3b3dem17yoywtbb5,false,2559,9,6,1,6
41,1,0dm8n93i3b3dem17yoywtbb5,false,5990,6,4,0,6
42,1,0dm8n93i3b3dem17yoywtbb5,false,3721,6,2,0,6
43,1,0dm8n93i3b3dem17yoywtbb5,false,3055,1,6,0,1
44,1,0dm8n93i3b3dem17yoywtbb5,false,5811,4,2,1,2
45,1,0dm8n93i3b3dem17yoywtbb5,false,4072,7,6,0,7
46,1,0dm8n93i3b3dem17yoywtbb5,false,1141,0,7,0,0
47,1,0dm8n93i3b3dem17yoywtbb5,false,1803,7,0,1,0
48,1,0dm8n93i3b3dem17yoywtbb5,false,6727,5,6,0,5
49,1,0dm8n93i3b3dem17yoywtbb5,false,2256,9,4,1,4
50,1,0dm8n93i3b3dem17yoywtbb5,false,4171,4,5,0,4
51,1,0dm8n93i3b3dem17yoywtbb5,false,3636,4,9,0,4
52,1,0dm8n93i3b3dem17yoywtbb5,false,1911,8,6,1,6
53,1,0dm8n93i3b3dem17yoywtbb5,false,2008,8,7,1,7
54,1,0dm8n93i3b3dem17yoywtbb5,false,3081,6,7,1,7
55,1,0dm8n93i3b3dem17yoywtbb5,false,2693,8,9,1,9
56,1,0dm8n93i3b3dem17yoywtbb5,false,2429,2,7,1,7
57,1,0dm8n93i3b3dem17yoywtbb5,false,3387,1,2,1,2
58,1,0dm8n93i3b3dem17yoywtbb5,false,3560,9,7,1,7
59,1,0dm8n93i3b3dem17yoywtbb5,false,2234,9,1,1,1
60,1,0dm8n93i3b3dem17yoywtbb5,false,2062,2,1,1,1
61,1,0dm8n93i3b3dem17yoywtbb5,false,2515,7,2,0,7
62,1,0dm8n93i3b3dem17yoywtbb5,false,2144,8,1,1,1
63,1,0dm8n93i3b3dem17yoywtbb5,false,1891,6,0,1,0
64,1,0dm8n93i3b3dem17yoywtbb5,false,2069,0,9,0,0
65,1,0dm8n93i3b3dem17yoywtbb5,false,1760,0,6,0,0
66,1,0dm8n93i3b3dem17yoywtbb5,false,2305,2,4,1,4
67,1,0dm8n93i3b3dem17yoywtbb5,false,1941,1,5,0,1
